freq[Hz];dbTrc1_S11;angTrc1_S11;
6.600000000000000E+009;-2.209716130645001E+000;4.126401803536788E+001;
6.601000500250125E+009;-2.200566068606739E+000;3.873943253946592E+001;
6.602001000500250E+009;-2.158733788851730E+000;3.610059752570290E+001;
6.603001500750375E+009;-2.162670639034161E+000;3.371032730521494E+001;
6.604002001000501E+009;-2.155954533358519E+000;3.101375213471841E+001;
6.605002501250626E+009;-2.153240403412687E+000;2.881083087408803E+001;
6.606003001500751E+009;-2.130230426965078E+000;2.622437443112108E+001;
6.607003501750876E+009;-2.128711523072900E+000;2.368616871163678E+001;
6.608004002001000E+009;-2.118482841035362E+000;2.137565120553325E+001;
6.609004502251125E+009;-2.083926987554038E+000;1.884188372859595E+001;
6.610005002501250E+009;-2.098101598532547E+000;1.635191115794290E+001;
6.611005502751376E+009;-2.065995569625368E+000;1.411683294912244E+001;
6.612006003001501E+009;-2.042183582140156E+000;1.173549445596870E+001;
6.613006503251626E+009;-2.006617678002427E+000;9.608395131113054E+000;
6.614007003501751E+009;-2.011558127039510E+000;7.293753401922873E+000;
6.615007503751876E+009;-1.993034352710233E+000;4.949292742776993E+000;
6.616008004002001E+009;-1.913847185587914E+000;2.580439928453912E+000;
6.617008504252126E+009;-1.954252134384154E+000;4.420520876191227E-001;
6.618009004502251E+009;-1.949755937862302E+000;-2.011246671264986E+000;
6.619009504752377E+009;-1.907761855634116E+000;-4.083611190967870E+000;
6.620010005002502E+009;-1.871543696597064E+000;-6.504174618048284E+000;
6.621010505252626E+009;-1.866226525453398E+000;-8.585988121953022E+000;
6.622011005502751E+009;-1.871871238905803E+000;-1.106802491691323E+001;
6.623011505752876E+009;-1.843117627417645E+000;-1.307073895385322E+001;
6.624012006003001E+009;-1.834658074695439E+000;-1.534853365032193E+001;
6.625012506253126E+009;-1.821576092622451E+000;-1.761266512420766E+001;
6.626013006503252E+009;-1.806385667301742E+000;-1.954868930852736E+001;
6.627013506753377E+009;-1.764203821880362E+000;-2.159581372117465E+001;
6.628014007003502E+009;-1.739534007466974E+000;-2.392571331203002E+001;
6.629014507253627E+009;-1.725304255078745E+000;-2.592438171531025E+001;
6.630015007503752E+009;-1.727446495468745E+000;-2.782966482247146E+001;
6.631015507753877E+009;-1.713771848387447E+000;-3.009691525685463E+001;
6.632016008004002E+009;-1.694299185939215E+000;-3.221180714813561E+001;
6.633016508254128E+009;-1.676605986239388E+000;-3.423536524103454E+001;
6.634017008504252E+009;-1.676646847294654E+000;-3.629114839880420E+001;
6.635017508754377E+009;-1.679893341981948E+000;-3.836580546806493E+001;
