freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.000000000000000E+009;8.063779473304749E-001;1.099275597509193E-001;
5.004002001000501E+009;8.265154957771301E-001;-2.082941610355377E-002;
5.008004002001000E+009;8.195068836212158E-001;-1.329836478166297E-001;
5.012006003001501E+009;7.978619337081909E-001;-2.555643865526512E-001;
5.016008004002001E+009;7.599811553955078E-001;-3.741092859995827E-001;
5.020010005002502E+009;7.054292559623718E-001;-4.786180019541885E-001;
5.024012006003001E+009;6.420072317123413E-001;-5.763889607068085E-001;
5.028014007003502E+009;5.558311343193054E-001;-6.668775197907951E-001;
5.032016008004002E+009;4.628894925117493E-001;-7.444631887214426E-001;
5.036018009004502E+009;3.520748317241669E-001;-8.068008361059778E-001;
5.040020010005003E+009;2.368860393762589E-001;-8.514198180262566E-001;
5.044022011005503E+009;1.162825450301170E-001;-8.760548449782495E-001;
5.048024012006003E+009;-7.525887805968523E-003;-8.851305125298676E-001;
5.052026013006503E+009;-1.338335275650024E-001;-8.736508013356976E-001;
5.056028014007004E+009;-2.585779726505280E-001;-8.412840596369894E-001;
5.060030015007504E+009;-3.793887495994568E-001;-7.898865555673732E-001;
5.064032016008004E+009;-4.894410967826843E-001;-7.119297457054764E-001;
5.068034017008504E+009;-5.844495892524719E-001;-6.261642360633403E-001;
5.072036018009005E+009;-6.680276393890381E-001;-5.248653446468777E-001;
5.076038019009504E+009;-7.319822907447815E-001;-4.072098136956480E-001;
5.080040020010005E+009;-7.784311771392822E-001;-2.762088091377608E-001;
5.084042021010506E+009;-8.083258271217346E-001;-1.474609460092920E-001;
5.088044022011005E+009;-8.102733492851257E-001;-1.461810919360297E-002;
5.092046023011506E+009;-7.918245196342468E-001;1.217482503212595E-001;
5.096048024012006E+009;-7.518983483314514E-001;2.508868127133083E-001;
5.100050025012507E+009;-6.942957639694214E-001;3.704123500409728E-001;
5.104052026013006E+009;-6.134725809097290E-001;4.878553628659433E-001;
5.108054027013507E+009;-5.263302922248840E-001;5.798500519136827E-001;
5.112056028014007E+009;-4.186089038848877E-001;6.652255749520345E-001;
5.116058029014507E+009;-2.979626953601837E-001;7.266331494703923E-001;
5.120060030015008E+009;-1.717344522476196E-001;7.678123129790385E-001;
5.124062031015508E+009;-4.164178669452667E-002;7.947811699429951E-001;
5.128064032016008E+009;9.012274444103241E-002;7.938653787641731E-001;
5.132066033016508E+009;2.193866372108460E-001;7.774644802635005E-001;
5.136068034017009E+009;3.478341102600098E-001;7.373693509387734E-001;
5.140070035017509E+009;4.615244269371033E-001;6.760094593586981E-001;
5.144072036018009E+009;5.680911540985107E-001;6.009608136364661E-001;
5.148074037018509E+009;6.599986553192139E-001;5.093873550990222E-001;
5.152076038019010E+009;7.320055961608887E-001;4.038774099637258E-001;
5.156078039019509E+009;7.902672886848450E-001;2.896298783455432E-001;
5.160080040020010E+009;8.255031108856201E-001;1.674507552380370E-001;
5.164082041020511E+009;8.473917245864868E-001;4.373857273739717E-002;
5.168084042021010E+009;8.453239798545837E-001;-8.088681150813909E-002;
5.172086043021511E+009;8.224001526832581E-001;-2.082634986159085E-001;
5.176088044022011E+009;7.842246890068054E-001;-3.223525180100902E-001;
5.180090045022512E+009;7.304953336715698E-001;-4.308137152585511E-001;
5.184092046023011E+009;6.608495712280273E-001;-5.289381030031187E-001;
5.188094047023512E+009;5.763620734214783E-001;-6.208234387566467E-001;
5.192096048024012E+009;4.812340438365936E-001;-6.957783295882827E-001;
5.196098049024512E+009;3.743170201778412E-001;-7.523005796707043E-001;
5.200100050025013E+009;2.677575349807739E-001;-8.002478198588302E-001;
5.204102051025513E+009;1.434535682201386E-001;-8.265929660226510E-001;
5.208104052026013E+009;2.542913891375065E-002;-8.383086608139229E-001;
5.212106053026513E+009;-9.753944724798203E-002;-8.379199678420837E-001;
5.216108054027014E+009;-2.145955860614777E-001;-8.132577788055345E-001;
5.220110055027514E+009;-3.292540907859802E-001;-7.701090178791574E-001;
5.224112056028014E+009;-4.431425929069519E-001;-7.153181052293465E-001;
5.228114057028514E+009;-5.409007668495178E-001;-6.440423351438853E-001;
