freq[Hz];db:Trc1_S21;ang:Trc1_S21;
5.000000000000000E+009;-6.825338231274876E+001;-7.300013876995639E+001;
5.004002001000501E+009;-7.137257048222902E+001;-6.979397734770625E+001;
5.008004002001000E+009;-7.343670878471292E+001;-7.926077817674612E+001;
5.012006003001501E+009;-6.919648709510346E+001;-1.079643987288760E+002;
5.016008004002001E+009;-6.887492793935380E+001;-9.918991310327104E+001;
5.020010005002502E+009;-6.661070971214897E+001;-9.872077905112347E+001;
5.024012006003001E+009;-6.964391253317091E+001;-1.059306769344676E+002;
5.028014007003502E+009;-6.858913664977190E+001;-1.262745419422326E+002;
5.032016008004002E+009;-6.766986037324529E+001;-1.268102640525278E+002;
5.036018009004502E+009;-6.676184121617428E+001;-1.350593953104840E+002;
5.040020010005003E+009;-6.825931202964036E+001;-1.406371972896262E+002;
5.044022011005503E+009;-6.844333942746016E+001;-1.554483581460567E+002;
5.048024012006003E+009;-6.739675523445006E+001;-1.566987264640747E+002;
5.052026013006503E+009;-6.678060977879677E+001;-1.587483671463945E+002;
5.056028014007004E+009;-6.597558660800743E+001;1.650313436486938E+002;
5.060030015007504E+009;-6.529311316756555E+001;1.645293548320514E+002;
5.064032016008004E+009;-6.582823992907662E+001;1.540981085759377E+002;
5.068034017008504E+009;-6.704725338991089E+001;1.493164113182059E+002;
5.072036018009005E+009;-6.616452424814219E+001;1.220986062850291E+002;
5.076038019009504E+009;-6.555165250126738E+001;1.289764689919348E+002;
5.080040020010005E+009;-6.737029004769705E+001;1.186679798584543E+002;
5.084042021010506E+009;-6.608405838721124E+001;1.014680293140589E+002;
5.088044022011005E+009;-6.737540011932092E+001;8.685598857494105E+001;
5.092046023011506E+009;-6.898692571231267E+001;7.964266619480685E+001;
5.096048024012006E+009;-6.985431493985864E+001;6.489695597060364E+001;
5.100050025012507E+009;-6.974800843948431E+001;6.843392499736224E+001;
5.104052026013006E+009;-6.834507152063910E+001;5.705949372111861E+001;
5.108054027013507E+009;-7.117393408064203E+001;6.151880477558527E+001;
5.112056028014007E+009;-6.732815401652016E+001;5.902464656722401E+001;
5.116058029014507E+009;-6.955970566516920E+001;4.113224063599534E+001;
5.120060030015008E+009;-6.660316453045363E+001;3.457219062588553E+001;
5.124062031015508E+009;-6.965985391535136E+001;2.192016843401167E+001;
5.128064032016008E+009;-7.208981280062159E+001;2.602798172121044E+000;
5.132066033016508E+009;-6.765231374118724E+001;1.434965670040457E+001;
5.136068034017009E+009;-6.764868317215240E+001;-1.708957311584822E+000;
5.140070035017509E+009;-6.855326103419067E+001;-1.053294919541247E+001;
5.144072036018009E+009;-6.831934739857182E+001;-1.576655755723702E+000;
5.148074037018509E+009;-6.943757467597968E+001;-2.275580453280577E+001;
5.152076038019010E+009;-6.554126497130352E+001;-2.242072730608216E+001;
5.156078039019509E+009;-6.623369625995031E+001;-4.468971918558481E+001;
5.160080040020010E+009;-6.740903271582039E+001;-4.119718416206823E+001;
5.164082041020511E+009;-6.553639059874735E+001;-5.509079755447898E+001;
5.168084042021010E+009;-6.699188642309946E+001;-5.335703688957707E+001;
5.172086043021511E+009;-6.523952816350194E+001;-7.928853822409192E+001;
5.176088044022011E+009;-6.655745214281318E+001;-8.491075372260021E+001;
5.180090045022512E+009;-6.479465966195846E+001;-9.054645788537600E+001;
5.184092046023011E+009;-6.678759173985023E+001;-1.089652286541702E+002;
5.188094047023512E+009;-6.681352308764654E+001;-1.066025472498830E+002;
5.192096048024012E+009;-6.606312156005879E+001;-1.369545942449850E+002;
5.196098049024512E+009;-6.530033200651950E+001;-1.199843945140168E+002;
5.200100050025013E+009;-6.681879290943431E+001;-1.386680651090761E+002;
5.204102051025513E+009;-6.588004405916897E+001;-1.508420288517244E+002;
5.208104052026013E+009;-6.584269666439491E+001;-1.392165691563091E+002;
5.212106053026513E+009;-6.666361356375218E+001;-1.771194685550926E+002;
5.216108054027014E+009;-6.736734717686254E+001;-1.652669757216852E+002;
5.220110055027514E+009;-6.793791779270214E+001;1.609132433656028E+002;
5.224112056028014E+009;-6.588801568784650E+001;1.699572603669253E+002;
5.228114057028514E+009;-6.824656985747743E+001;1.744555231844753E+002;
5.232116058029015E+009;-6.743455518524755E+001;1.588477229305232E+002;
5.236118059029514E+009;-6.669457844157459E+001;1.521443563457144E+002;
5.240120060030015E+009;-6.698681579685676E+001;1.453319904594678E+002;
5.244122061030516E+009;-6.574629971454363E+001;1.403962181473229E+002;
5.248124062031015E+009;-6.648815437973678E+001;1.266496516123026E+002;
5.252126063031516E+009;-6.506673967516078E+001;1.180122607778446E+002;
5.256128064032016E+009;-6.462043019745308E+001;1.063900244831397E+002;
5.260130065032517E+009;-6.471281354688334E+001;9.313070212075520E+001;
5.264132066033016E+009;-6.464287164127839E+001;8.377783342138123E+001;
5.268134067033517E+009;-6.482987536002013E+001;6.545945816159234E+001;
5.272136068034017E+009;-6.303803443733975E+001;5.514457995949376E+001;
5.276138069034517E+009;-6.485399773118310E+001;5.931801148998309E+001;
5.280140070035017E+009;-6.408869793892067E+001;3.178272033681071E+001;
5.284142071035518E+009;-6.755404443935716E+001;2.503594617033560E+001;
5.288144072036018E+009;-6.598452710590016E+001;1.580173363756828E+001;
5.292146073036518E+009;-6.456304267928279E+001;8.011205478074780E+000;
5.296148074037019E+009;-6.584343458654337E+001;-4.170010132881751E+000;
5.300150075037519E+009;-6.550125875484739E+001;-9.066690093622468E+000;
5.304152076038019E+009;-6.861714515023598E+001;-1.641981161405452E+001;
5.308154077038519E+009;-6.581683423317053E+001;-2.063813667879360E+001;
5.312156078039020E+009;-6.634283789468383E+001;-2.450452817658407E+001;
5.316158079039520E+009;-6.764576351987077E+001;-4.073824746712333E+001;
5.320160080040020E+009;-6.711271346601751E+001;-5.377590362037127E+001;
5.324162081040521E+009;-6.630774163806821E+001;-4.250094881321165E+001;
5.328164082041020E+009;-6.870278253797119E+001;-3.633945808579652E+001;
5.332166083041521E+009;-6.640677793625682E+001;-5.753840272095130E+001;
5.336168084042021E+009;-6.657324387680687E+001;-5.670008199710006E+001;
5.340170085042522E+009;-6.746460722152365E+001;-7.648698048785002E+001;
5.344172086043021E+009;-6.695606150262616E+001;-8.044305101792385E+001;
5.348174087043522E+009;-6.634504646752056E+001;-8.419452852385108E+001;
5.352176088044022E+009;-6.514456139020790E+001;-9.238251980826045E+001;
5.356178089044522E+009;-6.638147133313288E+001;-9.499799271584523E+001;
5.360180090045023E+009;-6.319637796577589E+001;-1.020220082604085E+002;
5.364182091045523E+009;-6.522336494696748E+001;-1.149573232664912E+002;
5.368184092046023E+009;-6.486074276647700E+001;-1.265686677087674E+002;
5.372186093046523E+009;-6.452047337821364E+001;-1.381320281728005E+002;
5.376188094047024E+009;-6.387463155075087E+001;-1.438456787104967E+002;
5.380190095047524E+009;-6.290793910226039E+001;-1.529358637804138E+002;
5.384192096048024E+009;-6.205292868823138E+001;-1.658551516447736E+002;
5.388194097048524E+009;-6.145545173891698E+001;-1.784146040952645E+002;
5.392196098049025E+009;-6.200792069591896E+001;1.722173198792742E+002;
5.396198099049524E+009;-6.342950884624899E+001;1.596171326354453E+002;
5.400200100050025E+009;-6.309880098236281E+001;1.467293462481391E+002;
5.404202101050526E+009;-6.347412487532763E+001;1.399822922922780E+002;
5.408204102051025E+009;-6.488013111535368E+001;1.195816099271418E+002;
5.412206103051526E+009;-6.336665663180792E+001;1.166729176826834E+002;
5.416208104052026E+009;-6.343254842289901E+001;9.726969045211861E+001;
5.420210105052527E+009;-6.430980354999575E+001;9.945104381756001E+001;
5.424212106053026E+009;-6.513652139206369E+001;9.262001938705470E+001;
5.428214107053527E+009;-6.608984103524711E+001;8.633779793121437E+001;
5.432216108054027E+009;-6.504354106293980E+001;7.377474352437970E+001;
5.436218109054527E+009;-6.448077018242940E+001;6.885758511675408E+001;
5.440220110055028E+009;-6.634125615216101E+001;6.805874572057628E+001;
5.444222111055528E+009;-6.506067112564213E+001;4.645653099516030E+001;
5.448224112056028E+009;-6.524617052257749E+001;5.444632838910571E+001;
5.452226113056528E+009;-6.508338859501394E+001;4.121836353588244E+001;
5.456228114057029E+009;-6.424785301754389E+001;3.380073116982515E+001;
5.460230115057529E+009;-6.554738335061147E+001;2.346668684816428E+001;
